2026-09-06 18:38:44 ok       ours=3/3 foreign=1 mem=3998/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:40:46 ok       ours=3/3 foreign=1 mem=3998/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:42:48 ok       ours=3/3 foreign=1 mem=4384/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:44:51 ok       ours=3/3 foreign=1 mem=4384/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:46:53 ok       ours=3/3 foreign=1 mem=4384/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:48:54 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 18:50:55 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 18:52:57 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 18:54:59 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 18:57:01 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 18:59:03 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:01:04 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:03:06 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:05:08 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:07:09 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:09:11 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:11:13 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:13:14 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:15:16 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:17:17 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:19:19 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
2026-09-06 19:21:21 ok       ours=3/3 foreign=1 mem=2086/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 31048:08_hmc_seed_benchmark.py; 9244:unknown
