cuda | NVIDIA GeForce RTX 5060 Laptop GPU | sm_120 | 8.0 GiB | torch 2.11.0+cu128/cu12.8 | tf32 off
rung L8_b3.5: model beta = 0.6219 (beta/4 = 0.8750, ratio 0.7108), chi_t residual +5.08e-03, 922 train / 102 val
rung L8_b7: model beta = 1.7053 (beta/4 = 1.7500, ratio 0.9744), chi_t residual +2.87e-02, 922 train / 102 val
rung L8_b14: model beta = 3.5601 (beta/4 = 3.5000, ratio 1.0172), chi_t residual +1.82e-02, 922 train / 102 val
rung L16_b14: model beta = 3.5601 (beta/4 = 3.5000, ratio 1.0172), chi_t residual +1.82e-02, 922 train / 102 val
rung L16_b28: model beta = 7.0197 (beta/4 = 7.0000, ratio 1.0028), chi_t residual +2.11e-03, 922 train / 102 val
rung L16_b56: model beta = 14.0079 (beta/4 = 14.0000, ratio 1.0006), chi_t residual +3.90e-04, 922 train / 102 val
rung L16_b51.75: model beta = 12.9461 (beta/4 = 12.9375, ratio 1.0007), chi_t residual +4.66e-04, 922 train / 102 val
rung L32_b56: model beta = 14.0079 (beta/4 = 14.0000, ratio 1.0006), chi_t residual +3.90e-04, 461 train / 51 val
rung L32_b203.15: model beta = 50.7894 (beta/4 = 50.7875, ratio 1.0000), chi_t residual +2.55e-05, 461 train / 51 val
rung L32_b105.651: model beta = 26.4166 (beta/4 = 26.4127, ratio 1.0001), chi_t residual +9.91e-05, 461 train / 51 val
rung L32_b416.524: model beta = 104.1319 (beta/4 = 104.1310, ratio 1.0000), chi_t residual +5.91e-06, 461 train / 51 val
epoch  23  train=0.6754  val_L8_b3.5=0.7454 val_L8_b7=0.7113 val_L8_b14=0.6986 val_L16_b14=0.6114 val_L16_b28=0.6770 val_L16_b56=0.6881 val_L16_b51.75=0.6596 val_L32_b56=0.6705 val_L32_b203.15=0.6955 val_L32_b105.651=0.7241 val_L32_b416.524=0.6567 val_total=7.5382
epoch  24  train=0.6803  val_L8_b3.5=0.7446 val_L8_b7=0.7107 val_L8_b14=0.6982 val_L16_b14=0.6113 val_L16_b28=0.6769 val_L16_b56=0.6880 val_L16_b51.75=0.6595 val_L32_b56=0.6704 val_L32_b203.15=0.6954 val_L32_b105.651=0.7240 val_L32_b416.524=0.6563 val_total=7.5353
epoch  25  train=0.6802  val_L8_b3.5=0.7439 val_L8_b7=0.7101 val_L8_b14=0.6979 val_L16_b14=0.6111 val_L16_b28=0.6767 val_L16_b56=0.6879 val_L16_b51.75=0.6594 val_L32_b56=0.6703 val_L32_b203.15=0.6953 val_L32_b105.651=0.7239 val_L32_b416.524=0.6561 val_total=7.5327
epoch  26  train=0.6804  val_L8_b3.5=0.7432 val_L8_b7=0.7095 val_L8_b14=0.6976 val_L16_b14=0.6108 val_L16_b28=0.6766 val_L16_b56=0.6879 val_L16_b51.75=0.6593 val_L32_b56=0.6702 val_L32_b203.15=0.6952 val_L32_b105.651=0.7237 val_L32_b416.524=0.6560 val_total=7.5301
epoch  27  train=0.6738  val_L8_b3.5=0.7426 val_L8_b7=0.7089 val_L8_b14=0.6973 val_L16_b14=0.6106 val_L16_b28=0.6765 val_L16_b56=0.6878 val_L16_b51.75=0.6592 val_L32_b56=0.6701 val_L32_b203.15=0.6951 val_L32_b105.651=0.7237 val_L32_b416.524=0.6558 val_total=7.5276
epoch  28  train=0.6793  val_L8_b3.5=0.7420 val_L8_b7=0.7085 val_L8_b14=0.6971 val_L16_b14=0.6104 val_L16_b28=0.6764 val_L16_b56=0.6878 val_L16_b51.75=0.6591 val_L32_b56=0.6701 val_L32_b203.15=0.6950 val_L32_b105.651=0.7236 val_L32_b416.524=0.6556 val_total=7.5256
epoch  29  train=0.6793  val_L8_b3.5=0.7412 val_L8_b7=0.7079 val_L8_b14=0.6969 val_L16_b14=0.6103 val_L16_b28=0.6763 val_L16_b56=0.6877 val_L16_b51.75=0.6591 val_L32_b56=0.6700 val_L32_b203.15=0.6950 val_L32_b105.651=0.7235 val_L32_b416.524=0.6555 val_total=7.5235
epoch  30  train=0.6739  val_L8_b3.5=0.7405 val_L8_b7=0.7076 val_L8_b14=0.6965 val_L16_b14=0.6101 val_L16_b28=0.6763 val_L16_b56=0.6876 val_L16_b51.75=0.6590 val_L32_b56=0.6699 val_L32_b203.15=0.6949 val_L32_b105.651=0.7235 val_L32_b416.524=0.6554 val_total=7.5213
epoch  31  train=0.6791  val_L8_b3.5=0.7400 val_L8_b7=0.7073 val_L8_b14=0.6962 val_L16_b14=0.6099 val_L16_b28=0.6762 val_L16_b56=0.6876 val_L16_b51.75=0.6590 val_L32_b56=0.6699 val_L32_b203.15=0.6948 val_L32_b105.651=0.7234 val_L32_b416.524=0.6552 val_total=7.5194
epoch  32  train=0.6698  val_L8_b3.5=0.7394 val_L8_b7=0.7069 val_L8_b14=0.6961 val_L16_b14=0.6098 val_L16_b28=0.6762 val_L16_b56=0.6875 val_L16_b51.75=0.6589 val_L32_b56=0.6698 val_L32_b203.15=0.6948 val_L32_b105.651=0.7233 val_L32_b416.524=0.6551 val_total=7.5177
epoch  33  train=0.6771  val_L8_b3.5=0.7388 val_L8_b7=0.7066 val_L8_b14=0.6959 val_L16_b14=0.6096 val_L16_b28=0.6762 val_L16_b56=0.6875 val_L16_b51.75=0.6588 val_L32_b56=0.6697 val_L32_b203.15=0.6948 val_L32_b105.651=0.7233 val_L32_b416.524=0.6551 val_total=7.5162
epoch  34  train=0.6744  val_L8_b3.5=0.7380 val_L8_b7=0.7063 val_L8_b14=0.6956 val_L16_b14=0.6095 val_L16_b28=0.6761 val_L16_b56=0.6874 val_L16_b51.75=0.6588 val_L32_b56=0.6696 val_L32_b203.15=0.6947 val_L32_b105.651=0.7232 val_L32_b416.524=0.6553 val_total=7.5144
epoch  35  train=0.6780  val_L8_b3.5=0.7372 val_L8_b7=0.7060 val_L8_b14=0.6955 val_L16_b14=0.6093 val_L16_b28=0.6760 val_L16_b56=0.6874 val_L16_b51.75=0.6587 val_L32_b56=0.6695 val_L32_b203.15=0.6947 val_L32_b105.651=0.7231 val_L32_b416.524=0.6549 val_total=7.5124
epoch  36  train=0.6743  val_L8_b3.5=0.7365 val_L8_b7=0.7056 val_L8_b14=0.6954 val_L16_b14=0.6093 val_L16_b28=0.6759 val_L16_b56=0.6873 val_L16_b51.75=0.6587 val_L32_b56=0.6695 val_L32_b203.15=0.6946 val_L32_b105.651=0.7231 val_L32_b416.524=0.6547 val_total=7.5105
epoch  37  train=0.6774  val_L8_b3.5=0.7360 val_L8_b7=0.7054 val_L8_b14=0.6955 val_L16_b14=0.6092 val_L16_b28=0.6759 val_L16_b56=0.6873 val_L16_b51.75=0.6587 val_L32_b56=0.6695 val_L32_b203.15=0.6946 val_L32_b105.651=0.7230 val_L32_b416.524=0.6545 val_total=7.5096
epoch  38  train=0.6700  val_L8_b3.5=0.7354 val_L8_b7=0.7050 val_L8_b14=0.6954 val_L16_b14=0.6091 val_L16_b28=0.6759 val_L16_b56=0.6872 val_L16_b51.75=0.6587 val_L32_b56=0.6694 val_L32_b203.15=0.6946 val_L32_b105.651=0.7230 val_L32_b416.524=0.6545 val_total=7.5082
epoch  39  train=0.6798  val_L8_b3.5=0.7345 val_L8_b7=0.7048 val_L8_b14=0.6953 val_L16_b14=0.6090 val_L16_b28=0.6758 val_L16_b56=0.6872 val_L16_b51.75=0.6587 val_L32_b56=0.6694 val_L32_b203.15=0.6945 val_L32_b105.651=0.7230 val_L32_b416.524=0.6546 val_total=7.5068
epoch  40  train=0.6694  val_L8_b3.5=0.7338 val_L8_b7=0.7046 val_L8_b14=0.6951 val_L16_b14=0.6089 val_L16_b28=0.6758 val_L16_b56=0.6872 val_L16_b51.75=0.6586 val_L32_b56=0.6694 val_L32_b203.15=0.6945 val_L32_b105.651=0.7229 val_L32_b416.524=0.6546 val_total=7.5055
epoch  41  train=0.6666  val_L8_b3.5=0.7331 val_L8_b7=0.7043 val_L8_b14=0.6950 val_L16_b14=0.6088 val_L16_b28=0.6758 val_L16_b56=0.6871 val_L16_b51.75=0.6586 val_L32_b56=0.6693 val_L32_b203.15=0.6945 val_L32_b105.651=0.7229 val_L32_b416.524=0.6545 val_total=7.5039
epoch  42  train=0.6696  val_L8_b3.5=0.7324 val_L8_b7=0.7040 val_L8_b14=0.6950 val_L16_b14=0.6088 val_L16_b28=0.6757 val_L16_b56=0.6871 val_L16_b51.75=0.6586 val_L32_b56=0.6693 val_L32_b203.15=0.6945 val_L32_b105.651=0.7229 val_L32_b416.524=0.6544 val_total=7.5028
epoch  43  train=0.6730  val_L8_b3.5=0.7321 val_L8_b7=0.7039 val_L8_b14=0.6951 val_L16_b14=0.6087 val_L16_b28=0.6757 val_L16_b56=0.6871 val_L16_b51.75=0.6585 val_L32_b56=0.6693 val_L32_b203.15=0.6945 val_L32_b105.651=0.7229 val_L32_b416.524=0.6543 val_total=7.5021
epoch  44  train=0.6718  val_L8_b3.5=0.7318 val_L8_b7=0.7036 val_L8_b14=0.6950 val_L16_b14=0.6086 val_L16_b28=0.6756 val_L16_b56=0.6870 val_L16_b51.75=0.6585 val_L32_b56=0.6693 val_L32_b203.15=0.6944 val_L32_b105.651=0.7229 val_L32_b416.524=0.6542 val_total=7.5010
epoch  45  train=0.6692  val_L8_b3.5=0.7315 val_L8_b7=0.7033 val_L8_b14=0.6950 val_L16_b14=0.6086 val_L16_b28=0.6756 val_L16_b56=0.6870 val_L16_b51.75=0.6584 val_L32_b56=0.6692 val_L32_b203.15=0.6944 val_L32_b105.651=0.7228 val_L32_b416.524=0.6542 val_total=7.5001
epoch  46  train=0.6713  val_L8_b3.5=0.7311 val_L8_b7=0.7032 val_L8_b14=0.6950 val_L16_b14=0.6086 val_L16_b28=0.6756 val_L16_b56=0.6870 val_L16_b51.75=0.6584 val_L32_b56=0.6692 val_L32_b203.15=0.6944 val_L32_b105.651=0.7228 val_L32_b416.524=0.6541 val_total=7.4996
epoch  47  train=0.6728  val_L8_b3.5=0.7308 val_L8_b7=0.7032 val_L8_b14=0.6950 val_L16_b14=0.6085 val_L16_b28=0.6755 val_L16_b56=0.6870 val_L16_b51.75=0.6584 val_L32_b56=0.6692 val_L32_b203.15=0.6944 val_L32_b105.651=0.7228 val_L32_b416.524=0.6541 val_total=7.4989
epoch  48  train=0.6774  val_L8_b3.5=0.7304 val_L8_b7=0.7030 val_L8_b14=0.6949 val_L16_b14=0.6085 val_L16_b28=0.6755 val_L16_b56=0.6870 val_L16_b51.75=0.6584 val_L32_b56=0.6692 val_L32_b203.15=0.6944 val_L32_b105.651=0.7227 val_L32_b416.524=0.6540 val_total=7.4980
epoch  49  train=0.6748  val_L8_b3.5=0.7299 val_L8_b7=0.7026 val_L8_b14=0.6948 val_L16_b14=0.6084 val_L16_b28=0.6756 val_L16_b56=0.6870 val_L16_b51.75=0.6584 val_L32_b56=0.6691 val_L32_b203.15=0.6944 val_L32_b105.651=0.7227 val_L32_b416.524=0.6540 val_total=7.4968
epoch  50  train=0.6729  val_L8_b3.5=0.7294 val_L8_b7=0.7023 val_L8_b14=0.6949 val_L16_b14=0.6085 val_L16_b28=0.6755 val_L16_b56=0.6869 val_L16_b51.75=0.6583 val_L32_b56=0.6691 val_L32_b203.15=0.6943 val_L32_b105.651=0.7226 val_L32_b416.524=0.6539 val_total=7.4958
epoch  51  train=0.6723  val_L8_b3.5=0.7289 val_L8_b7=0.7023 val_L8_b14=0.6949 val_L16_b14=0.6085 val_L16_b28=0.6754 val_L16_b56=0.6869 val_L16_b51.75=0.6583 val_L32_b56=0.6691 val_L32_b203.15=0.6943 val_L32_b105.651=0.7226 val_L32_b416.524=0.6539 val_total=7.4952
epoch  52  train=0.6712  val_L8_b3.5=0.7284 val_L8_b7=0.7020 val_L8_b14=0.6947 val_L16_b14=0.6085 val_L16_b28=0.6754 val_L16_b56=0.6869 val_L16_b51.75=0.6583 val_L32_b56=0.6691 val_L32_b203.15=0.6943 val_L32_b105.651=0.7226 val_L32_b416.524=0.6539 val_total=7.4942
epoch  53  train=0.6718  val_L8_b3.5=0.7279 val_L8_b7=0.7019 val_L8_b14=0.6946 val_L16_b14=0.6085 val_L16_b28=0.6754 val_L16_b56=0.6869 val_L16_b51.75=0.6584 val_L32_b56=0.6691 val_L32_b203.15=0.6943 val_L32_b105.651=0.7226 val_L32_b416.524=0.6538 val_total=7.4933
epoch  54  train=0.6756  val_L8_b3.5=0.7276 val_L8_b7=0.7018 val_L8_b14=0.6945 val_L16_b14=0.6084 val_L16_b28=0.6753 val_L16_b56=0.6869 val_L16_b51.75=0.6584 val_L32_b56=0.6690 val_L32_b203.15=0.6943 val_L32_b105.651=0.7226 val_L32_b416.524=0.6539 val_total=7.4926
epoch  55  train=0.6766  val_L8_b3.5=0.7274 val_L8_b7=0.7014 val_L8_b14=0.6945 val_L16_b14=0.6084 val_L16_b28=0.6753 val_L16_b56=0.6868 val_L16_b51.75=0.6583 val_L32_b56=0.6690 val_L32_b203.15=0.6943 val_L32_b105.651=0.7225 val_L32_b416.524=0.6538 val_total=7.4918
epoch  56  train=0.6726  val_L8_b3.5=0.7270 val_L8_b7=0.7011 val_L8_b14=0.6946 val_L16_b14=0.6083 val_L16_b28=0.6753 val_L16_b56=0.6868 val_L16_b51.75=0.6583 val_L32_b56=0.6690 val_L32_b203.15=0.6943 val_L32_b105.651=0.7225 val_L32_b416.524=0.6538 val_total=7.4909
epoch  57  train=0.6680  val_L8_b3.5=0.7264 val_L8_b7=0.7010 val_L8_b14=0.6946 val_L16_b14=0.6083 val_L16_b28=0.6753 val_L16_b56=0.6867 val_L16_b51.75=0.6582 val_L32_b56=0.6690 val_L32_b203.15=0.6942 val_L32_b105.651=0.7225 val_L32_b416.524=0.6537 val_total=7.4901
epoch  58  train=0.6643  val_L8_b3.5=0.7261 val_L8_b7=0.7007 val_L8_b14=0.6945 val_L16_b14=0.6083 val_L16_b28=0.6753 val_L16_b56=0.6867 val_L16_b51.75=0.6582 val_L32_b56=0.6690 val_L32_b203.15=0.6942 val_L32_b105.651=0.7225 val_L32_b416.524=0.6537 val_total=7.4891
epoch  59  train=0.6681  val_L8_b3.5=0.7256 val_L8_b7=0.7003 val_L8_b14=0.6943 val_L16_b14=0.6082 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6582 val_L32_b56=0.6690 val_L32_b203.15=0.6942 val_L32_b105.651=0.7225 val_L32_b416.524=0.6537 val_total=7.4879
epoch  60  train=0.6675  val_L8_b3.5=0.7253 val_L8_b7=0.7002 val_L8_b14=0.6942 val_L16_b14=0.6082 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6582 val_L32_b56=0.6689 val_L32_b203.15=0.6941 val_L32_b105.651=0.7225 val_L32_b416.524=0.6537 val_total=7.4873
epoch  61  train=0.6742  val_L8_b3.5=0.7250 val_L8_b7=0.7001 val_L8_b14=0.6943 val_L16_b14=0.6081 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6582 val_L32_b56=0.6689 val_L32_b203.15=0.6941 val_L32_b105.651=0.7225 val_L32_b416.524=0.6536 val_total=7.4867
epoch  62  train=0.6751  val_L8_b3.5=0.7247 val_L8_b7=0.7000 val_L8_b14=0.6942 val_L16_b14=0.6081 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6581 val_L32_b56=0.6689 val_L32_b203.15=0.6941 val_L32_b105.651=0.7225 val_L32_b416.524=0.6535 val_total=7.4859
epoch  63  train=0.6668  val_L8_b3.5=0.7244 val_L8_b7=0.6998 val_L8_b14=0.6941 val_L16_b14=0.6080 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6581 val_L32_b56=0.6689 val_L32_b203.15=0.6941 val_L32_b105.651=0.7225 val_L32_b416.524=0.6535 val_total=7.4854
epoch  64  train=0.6735  val_L8_b3.5=0.7242 val_L8_b7=0.6997 val_L8_b14=0.6943 val_L16_b14=0.6080 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6581 val_L32_b56=0.6689 val_L32_b203.15=0.6941 val_L32_b105.651=0.7224 val_L32_b416.524=0.6535 val_total=7.4850
epoch  65  train=0.6644  val_L8_b3.5=0.7241 val_L8_b7=0.6996 val_L8_b14=0.6945 val_L16_b14=0.6079 val_L16_b28=0.6752 val_L16_b56=0.6867 val_L16_b51.75=0.6581 val_L32_b56=0.6690 val_L32_b203.15=0.6941 val_L32_b105.651=0.7224 val_L32_b416.524=0.6534 val_total=7.4849
